timedelta,rangeDiff,batteryPctDiff,distance,temperature
6,5,3,1.891,3.6
20,48,7,6.0186,4.3
6,7,4,3.2556,2.7
8,-7,4,2.4694000000000003,5.1
15,11,7,3.8552,0.4
23,13,6,6.4016,11.7
14,6,6,3.5675,2.9
3,0,0,0.0,3.9
42,93,27,10.6051,3.1
12,10,3,1.8262,1.5
55,22,10,2.5835,4.1
23,11,6,0.037,10.1
19,12,8,8.7682,11.9
42,14,13,8.4199,4.4
49,14,9,9.2088,4.8
14,10,5,3.8359,5.6
25,-1,3,6.2353000000000005,4.4
12,12,7,5.9941,1.6
17,16,6,5.1446000000000005,9.3
22,29,18,1.6856,8.2
22,39,9,7.1502,5.8
33,20,10,6.9168,2.4
18,3,8,9.6284,3.7
9,10,6,3.9039,4.4
12,44,5,2.2312,11.4
49,12,9,0.1087,8.9
9,9,4,3.3228,1.9
16,14,9,0.44589999999999996,4.3
13,6,6,0.0060999999999999995,5.9
9,10,5,1.645,5.0
22,1,8,0.001,8.8
29,41,31,0.0,2.1
16,-6,4,5.7841000000000005,6.8
19,32,21,19.2092,7.6
24,14,7,5.730899999999999,4.7
25,92,60,4.0386,6.5
24,9,6,0.9986,4.6
6,2,1,0.9599,7.5
16,30,11,3.6176,4.1
0,0,0,0.0,4.2
7,37,2,2.2173000000000003,4.2
2,2,1,0.49310000000000004,7.9
8,1,1,1.3427,6.1
16,20,12,8.6565,7.8
17,26,6,5.6213999999999995,5.4
19,6,0,0.0,9.3
2,1,1,0.0917,2.7
5,10,3,0.0003,6.1
18,30,17,12.579600000000001,5.8
20,23,10,8.252799999999999,2.7
7,22,2,1.6662000000000001,2.5
33,30,9,0.6583,12.9
10,17,2,3.6406,4.4
21,38,20,0.0003,3.2
24,33,19,0.4794,3.4
26,9,9,7.075699999999999,5.4
6,3,2,2.3398000000000003,5.1
26,35,29,20.9881,2.7
21,32,11,8.7874,5.3
10,-5,6,5.115,3.1
15,3,7,5.2271,7.7
16,0,5,5.2311000000000005,8.2
8,0,1,0.0,8.1
25,39,10,7.4449,5.0
20,27,15,9.9604,8.2
29,64,25,10.614600000000001,4.5
13,32,15,9.8719,5.2
30,97,46,5.836,7.4
12,11,6,2.5043,8.0
6,6,2,1.8500999999999999,6.7
20,-16,7,6.370100000000001,2.9
5,3,3,2.2458,4.9
12,12,5,2.9851,10.0
26,4,6,5.3291,10.6
7,6,4,1.2532,3.7
26,3,5,6.0876,5.7
13,7,5,2.5899,2.1
26,6,3,2.8424,3.6
8,4,2,2.2344,2.0
15,21,5,3.7647,10.3
9,5,1,0.32089999999999996,2.9
32,16,8,4.4319,10.4
9,3,3,2.1714,11.3
26,39,8,8.7011,2.9
14,6,3,2.1872,4.1
22,-4,7,7.581899999999999,3.4
10,26,6,3.2968,3.7
8,3,1,1.6034000000000002,7.9
7,6,3,2.9316999999999998,7.5
20,2,4,4.2435,2.8
16,12,7,8.0431,3.5
5,3,1,1.6379000000000001,8.6
9,4,3,3.7593,2.4
13,8,3,1.3556,2.0
16,3,2,2.0679000000000003,9.6
19,49,6,3.0442,4.9
27,45,20,1.4812,4.6
1,0,0,0.0,7.6
20,12,9,0.5265,13.9
48,25,17,5.6988,6.3
7,8,18,6.8987,2.0
13,4,3,3.9064,8.8
46,40,26,9.972700000000001,6.9
2,0,0,0.0,8.4
24,8,7,0.5711,3.4
8,-1,2,4.208699999999999,5.0
15,9,9,10.1678,6.6
14,5,6,3.8276999999999997,4.0
41,17,16,11.146600000000001,5.3
26,8,11,8.724200000000002,4.0
31,11,12,14.222700000000001,4.1
14,13,10,8.6226,8.6
18,19,5,5.4472,8.4
13,19,7,3.6448,7.7
19,17,11,5.4715,4.7
13,9,6,4.369,6.6
10,38,3,2.2511,6.9
20,8,7,7.3443000000000005,7.6
17,40,3,3.1902,3.5
13,8,3,2.9595,6.0
26,16,11,0.5532999999999999,5.1
7,4,1,1.0532000000000001,12.0
15,48,7,0.9287000000000001,4.5
6,4,1,1.8629,7.7
17,4,6,4.4422,5.4
33,31,19,0.1133,6.7
22,13,8,8.954600000000001,7.9
13,4,1,1.001,4.7
6,4,1,1.2209,4.6
25,10,6,3.937,5.0
34,7,6,4.5391,12.9
8,43,18,0.6179,14.0
13,36,22,2.3223000000000003,1.8
10,5,3,1.3902999999999999,7.7
15,14,10,7.9375,3.1
0,0,0,0.0,3.5
9,1,2,2.3778,8.3
17,81,30,16.0062,4.3
42,20,19,10.0146,8.7
2,0,0,0.0,7.5
52,35,21,6.0219,4.3
7,2,1,0.0,4.1
6,7,2,0.7768999999999999,4.3
5,2,2,1.342,2.2
30,15,11,12.207600000000001,5.4
16,-8,4,6.7876,11.6
19,27,8,5.7879,5.2
57,31,17,10.638399999999999,1.9
44,9,10,2.7100999999999997,8.5
20,13,5,6.228899999999999,1.3
25,18,6,3.7676,0.6
18,14,5,2.8245999999999998,4.3
16,7,4,2.9341999999999997,4.6
12,2,4,3.6649000000000003,5.4
22,6,8,8.1004,4.4
6,22,10,3.2676999999999996,6.0
12,5,2,0.0181,7.9
39,15,12,3.1227,2.2
20,22,12,6.6529,1.6
47,36,24,3.6086,2.8
47,56,21,7.5732,5.8
9,34,4,2.649,3.8
22,13,12,12.1114,5.4
18,0,0,0.0,4.3
17,16,11,6.1097,3.0
17,14,7,5.6581,5.4
37,33,18,11.0436,5.2
15,43,8,8.1974,8.8
14,39,12,8.1779,4.8
59,9,7,1.5215,0.5
49,38,27,7.676699999999999,3.8
14,22,8,0.0003,5.9
20,12,9,5.796,6.3
32,29,6,3.5484,13.4
20,0,6,0.0453,10.9
31,45,27,0.0019,3.1
13,7,4,5.2088,11.3
15,21,9,6.608899999999999,7.5
19,13,9,7.7188,7.6
5,-13,0,0.0,6.6
42,15,21,0.9228,11.1
46,27,23,0.18230000000000002,10.3
5,-3,1,1.0974000000000002,4.2
15,13,7,5.0115,0.8
18,29,4,0.0465,8.2
14,5,3,1.1551,10.5
9,-3,3,1.2849000000000002,4.7
9,-4,2,2.4964,2.8
50,4,3,2.077,2.3
5,7,4,2.346,5.8
13,6,6,7.0923,9.2
28,11,13,4.8798,6.6
6,30,4,1.3697000000000001,6.9
9,24,15,7.554399999999999,5.1
18,33,14,6.144,9.2
53,26,14,3.5878,10.4
8,5,5,3.7945,6.4
30,7,5,0.9311,0.2
27,10,8,6.9559,5.5
12,6,4,5.1227,8.5
14,22,8,3.102,6.3
9,6,3,1.967,2.6
20,19,8,0.0106,5.2
16,8,5,4.0759,4.4
14,4,4,4.368600000000001,10.0
11,16,7,6.9257,8.0
18,7,7,2.8097,5.2
14,-13,3,2.9998,7.9
13,12,8,5.6455,3.9
45,33,10,1.9984000000000002,4.3
13,8,6,5.935,4.1
3,0,0,0.0,4.7
40,22,17,0.0031,3.8
22,16,15,3.8194,6.5
49,4,11,7.0465,5.3
35,10,8,3.5779,5.2
26,24,18,15.6768,5.8
6,-3,4,2.7944,9.2
17,7,6,0.0055,6.4
23,9,8,7.8068,2.5
1,41,27,0.8687,7.2
16,11,6,6.5668,11.7
51,16,21,1.0853,4.2
8,7,5,2.4046,4.2
23,9,8,3.5176999999999996,2.5
8,2,1,0.2978,2.6
29,10,6,6.7783999999999995,13.5
21,1,6,5.0968,7.8
13,11,8,8.220600000000001,1.3
3,0,-1,0.0,5.0
21,19,11,9.8409,4.2
19,34,26,1.6665,5.5
49,19,10,2.1069,2.6
2,-4,0,0.0,5.2
18,11,9,0.5605,11.3
11,6,4,3.9196999999999997,5.2
20,19,8,4.1254,4.2
18,11,12,0.038700000000000005,3.7
4,3,2,0.12840000000000001,1.9
12,18,7,3.2460999999999998,8.9
9,10,3,2.5676,8.7
0,110,50,16.0989,8.9
28,14,12,9.5308,6.1
38,17,13,12.778,4.4
7,31,1,0.004,2.7
12,8,6,5.856199999999999,4.6
10,4,3,3.2666999999999997,9.3
20,-13,4,3.405,2.0
17,5,5,3.0216,2.8
12,6,5,2.3710999999999998,1.2
10,0,3,2.6665,8.2
14,5,4,2.6053,4.0
22,4,7,5.7862,1.4
17,-5,2,3.3249,7.6
18,3,5,5.619,1.9
17,19,8,7.4498,2.3
19,23,11,7.9621,-0.4
12,39,4,6.146100000000001,2.2
13,7,4,4.0649,4.8
8,36,6,6.3702,3.9
54,23,21,2.0494,6.4
47,19,17,1.1881,1.3
37,64,14,0.9706,-0.9
4,57,26,1.3092000000000001,4.4
9,32,2,2.3567,7.6
6,1,1,1.1725999999999999,0.8
18,23,14,8.7698,5.0
9,-12,2,2.7896,10.5
19,9,5,4.512,5.9
13,11,10,6.7362,4.3
45,20,10,11.326799999999999,4.9
18,-4,3,3.8014,6.3
16,35,9,10.1022,6.7
15,7,3,0.0013,4.7
8,4,3,0.9975,4.9
16,32,10,7.626600000000001,0.8
7,7,3,2.2893000000000003,2.2
56,-130,15,2.1096,14.0
16,0,2,1.691,9.3
4,5,3,1.3594000000000002,8.3
25,57,40,2.1334,3.6
17,22,14,6.338100000000001,4.1
23,9,8,9.062299999999999,3.8
25,38,4,5.333699999999999,1.9
51,33,19,1.4289,7.5
22,14,10,8.8171,2.7
30,8,9,7.956300000000001,4.3
18,18,9,9.7258,5.3
23,38,6,6.4723999999999995,3.6
11,4,3,3.9255,7.3
7,0,0,0.0,3.9
31,59,35,0.06709999999999999,7.6
6,4,2,2.9235,3.6
14,19,9,4.8493,7.1
