distance,timedelta,temperature
5.0066999999999995,13,1.4
7.7553,27,8.6
2.9135,9,4.5
2.6799,10,9.0
2.1372,13,4.6
2.1816999999999998,15,4.4
4.853800000000001,17,6.7
2.5495,10,10.4
5.7722,31,7.8
0.0015,28,4.5
6.922,32,3.9
2.4711,9,8.6
1.1399000000000001,17,4.9
2.3739,8,8.4
3.2325,12,4.0
3.2365,7,8.9
1.4799,1,6.7
3.1241999999999996,15,4.6
2.6249000000000002,38,4.2
0.0019,8,7.5
6.9621,14,12.5
6.404,30,12.7
5.4698,13,3.1
6.1946,16,2.7
4.1051,29,10.6
2.1166,18,4.1
3.7956999999999996,7,5.4
0.0013,16,4.6
2.3626,9,6.2
3.6506999999999996,15,3.9
3.3457,20,11.3
5.9608,10,3.4
7.4956000000000005,24,8.4
1.4905,40,7.2
1.0695,10,11.4
1.441,9,4.5
10.1022,40,4.3
3.8451999999999997,23,6.5
5.1083,13,10.9
4.4275,24,4.0
7.3194,42,2.0
7.712899999999999,26,8.4
7.8545,21,9.2
11.484200000000001,32,2.3
5.193,22,2.2
2.5018000000000002,13,2.5
1.1474000000000002,6,9.7
0.3108,3,2.6
3.6461,47,5.7
0.8138,55,5.0
6.7653,42,7.9
3.9076,12,12.9
3.9606,5,4.3
1.2067,4,0.3
6.7984,20,5.9
2.9756,18,8.6
4.0222,8,9.0
2.3495999999999997,48,6.0
0.0446,43,8.2
4.8782,56,1.4
8.1404,23,8.6
6.1812,11,3.5
2.7681,33,2.8
0.1383,6,7.9
4.141,25,4.9
0.5205,26,4.6
3.9297,22,7.7
5.3101,13,5.7
10.983,32,6.2
7.7794,16,4.8
3.0961999999999996,10,4.6
0.15369999999999998,37,10.4
5.2974,18,1.9
6.030600000000001,19,5.0
8.3977,21,5.0
5.3735,40,12.0
0.19669999999999999,29,3.6
6.1563,16,4.6
0.0021000000000000003,37,4.3
3.7343,5,10.8
2.8916999999999997,19,7.6
3.1275,15,3.5
0.0,0,2.6
1.301,32,7.5
0.5996,8,3.5
13.149700000000001,17,10.0
0.0189,27,1.8
2.9061999999999997,12,5.2
7.7068,23,2.1
6.417800000000001,18,7.0
2.6938,7,5.5
3.9981,17,9.2
9.0055,14,4.3
4.314100000000001,16,11.8
0.0,0,7.5
2.7956999999999996,12,1.5
9.5172,55,7.3
8.8799,13,2.4
8.8011,15,5.7
0.4021,34,8.4
5.7767,16,3.3
6.3597,9,3.6
18.4438,35,7.6
3.3315,26,3.2
3.7742,17,3.4
